season,year_start,year_end,position,points
modern,2010,2024,1,25
modern,2010,2024,2,18
modern,2010,2024,3,15
modern,2010,2024,4,12
modern,2010,2024,5,10
modern,2010,2024,6,8
modern,2010,2024,7,6
modern,2010,2024,8,4
modern,2010,2024,9,2
modern,2010,2024,10,1
modern,2010,2024,11,0
modern,2010,2024,12,0
modern,2010,2024,13,0
modern,2010,2024,14,0
modern,2010,2024,15,0
modern,2010,2024,16,0
modern,2010,2024,17,0
modern,2010,2024,18,0
modern,2010,2024,19,0
modern,2010,2024,20,0
classic,2003,2009,1,10
classic,2003,2009,2,8
classic,2003,2009,3,6
classic,2003,2009,4,5
classic,2003,2009,5,4
classic,2003,2009,6,3
classic,2003,2009,7,2
classic,2003,2009,8,1
classic,2003,2009,9,0
classic,2003,2009,10,0